replicas,load_pct,aggregate_bw_gbps,latency_cycles,requested_request_gbps_per_node,request_gbps,response_gbps,label,log_path
1,30,67.66486,1296.9125000000001,6.01,48.10094,19.56389,iter04,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter04_bw06p01.out
1,30,68.71414,4082.30875,7.07,48.84523,19.86889,right,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_right_bw07p07.out
1,30,68.72319,4086.3687499999996,6.22,48.8517,19.871470000000002,iter03,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load030_iter03_bw06p22.out
1,40,3.884501,806.7332499999999,0.3,2.405234,1.479266,base,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_base_bw00p30.out
1,40,39.70097,907.402875,3.07,24.5763,15.12467,left,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_left_bw03p07.out
1,40,65.50139,950.0634999999999,5.07,40.54909,24.9523,iter00,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter00_bw05p07.out
1,40,70.44444,963.7542499999998,5.45,43.60878,26.83568,iter04,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter04_bw05p45.out
1,40,70.9535,968.2835,5.49,43.92421,27.0293,iter06,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter06_bw05p49.out
1,40,71.24385,960.7795,5.51,44.10524,27.13862,iter08,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter08_bw05p51.out
1,40,71.88392,958.3047499999999,5.56,44.502159999999996,27.38177,iter09,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter09_bw05p56.out
1,40,71.9232,959.02,5.57,44.52654,27.39664,iter14,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter14_bw05p57.out
1,40,71.95653,956.1326250000002,5.57,44.54452,27.412010000000002,iter01,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter01_bw05p57.out
1,40,72.00716,984.530625,5.57,44.57932,27.42781,iter11,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter11_bw05p57.out
1,40,72.07759,1012.0012500000001,5.58,44.62502,27.45259,iter13,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter13_bw05p58.out
1,40,72.10122,1015.8062500000001,5.58,44.6387,27.46253,iter07,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter07_bw05p58.out
1,40,72.27989,1093.6525,5.59,44.74418,27.53573,iter12,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter12_bw05p59.out
1,40,72.36878,1102.675,5.6,44.79859,27.57018,iter10,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter10_bw05p60.out
1,40,72.48641,1124.5824999999998,5.61,44.8714,27.61506,iter05,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter05_bw05p61.out
1,40,73.16162,1206.8049999999998,5.66,45.29204,27.86958,iter03,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter03_bw05p66.out
1,40,76.79059,1314.0412500000002,5.94,47.53779,29.25279,iter02,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_iter02_bw05p94.out
1,40,78.92937,4213.60625,7.07,48.86043,30.06895,right,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load040_right_bw07p07.out
1,50,4.542104,803.7342500000001,0.3,2.404644,2.137461,base,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_base_bw00p30.out
1,50,46.42402,877.5595000000002,3.07,24.58206,21.84197,left,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_left_bw03p07.out
1,50,76.59531,951.2465,5.07,40.55046,36.04485,iter00,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter00_bw05p07.out
1,50,78.48072,954.768375,5.19,41.5486,36.93212,iter02,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter02_bw05p19.out
1,50,79.54148,942.2804999999998,5.26,42.11024,37.4313,iter04,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter04_bw05p26.out
1,50,80.13759999999999,936.45575,5.3,42.42569,37.7117,iter06,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter06_bw05p30.out
1,50,81.1601,937.7238749999999,5.37,42.96797,38.19212,iter10,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter10_bw05p37.out
1,50,81.48140000000001,973.2023750000001,5.39,43.13967,38.34165,iter07,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter07_bw05p39.out
1,50,81.585,981.6750000000001,5.4,43.19377,38.39134,iter11,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter11_bw05p40.out
1,50,81.668,999.1158750000001,5.4,43.23357,38.43445,iter13,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter13_bw05p40.out
1,50,81.7376,1010.5025000000002,5.41,43.27446,38.46315,iter09,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter09_bw05p41.out
1,50,81.8538,1049.7875,5.42,43.33737,38.51626,iter14,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter14_bw05p42.out
1,50,81.9127,1047.2375,5.42,43.36867,38.54407,iter12,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter12_bw05p42.out
1,50,81.9318,1048.6249999999998,5.42,43.38028,38.55148,iter05,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter05_bw05p42.out
1,50,82.4835,1182.9424999999999,5.46,43.66769,38.81573,iter08,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter08_bw05p46.out
1,50,82.7146,1206.10375,5.47,43.79009,38.92453,iter03,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter03_bw05p47.out
1,50,84.1401,1321.06375,5.57,44.545410000000004,39.59476,iter01,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_iter01_bw05p57.out
1,50,92.3061,4254.625,7.07,48.86537,43.44084,right,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load050_right_bw07p07.out
1,60,5.432,811.93225,0.3,2.40357,3.02843,base,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_base_bw00p30.out
1,60,44.02917,902.27425,2.43,19.45189,24.57727,left,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_left_bw02p43.out
1,60,65.49615,964.7326250000002,3.62,28.94045,36.55567,iter01,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter01_bw03p62.out
1,60,66.83888,954.681875,3.69,29.53257,37.30633,iter03,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter03_bw03p69.out
1,60,69.14786,981.9395,3.82,30.55191,38.59592,iter07,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter07_bw03p82.out
1,60,69.39289,985.716125,3.83,30.66378,38.7291,iter09,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter09_bw03p83.out
